ID_Inscricao,municipio,Q006_Renda,Score_Renda,Q002_Escolaridade_Mae,Score_Escolaridade,Q025_Tem_Internet,Score_Internet,NU_NOTA_GERAL,ISE,TP_ESCOLA,latitude,longitude
7494390210,Manaus,Q,5,F,3,Sim,1,684,9,Pública,-3.119,-60.0217
1487365080,Fortaleza,A,0,B,1,Sim,1,476,2,Pública,-3.7319,-38.5267
3218934259,Rio de Janeiro,B,1,B,1,Sim,1,344,3,Pública,-22.9068,-43.1729
4867266084,Belo Horizonte,A,0,B,1,Sim,1,448,2,Pública,-19.9167,-43.9345
8168249959,São Paulo,B,1,B,1,Sim,1,474,3,Pública,-23.5505,-46.6333
3849718370,Belo Horizonte,D,3,F,3,Sim,1,598,7,Pública,-19.9167,-43.9345
1077633091,Fortaleza,C,2,F,3,Sim,1,455,6,Privada,-3.7319,-38.5267
6434002806,São Paulo,D,3,F,3,Sim,1,653,7,Privada,-23.5505,-46.6333
3158809885,Manaus,D,3,D,2,Sim,1,490,6,Privada,-3.119,-60.0217
1988638203,São Paulo,D,3,D,2,Sim,1,532,6,Pública,-23.5505,-46.6333
9392059356,Fortaleza,D,3,D,2,Sim,1,688,6,Pública,-3.7319,-38.5267
4987097879,Manaus,Q,5,F,3,Sim,1,778,9,Pública,-3.119,-60.0217
2653982164,Fortaleza,Q,5,F,3,Sim,1,574,9,Pública,-3.7319,-38.5267
9289359170,São Paulo,B,1,B,1,Sim,1,389,3,Pública,-23.5505,-46.6333
4017146154,Rio de Janeiro,B,1,B,1,Não,0,472,2,Pública,-22.9068,-43.1729
8712870799,Manaus,B,1,A,0,Não,0,465,1,Pública,-3.119,-60.0217
4603191957,Fortaleza,C,2,F,3,Sim,1,577,6,Privada,-3.7319,-38.5267
8828009797,Rio de Janeiro,E,4,G,4,Sim,1,758,9,Pública,-22.9068,-43.1729
2963938918,Manaus,C,2,F,3,Sim,1,459,6,Pública,-3.119,-60.0217
7616977454,Belo Horizonte,Q,5,G,4,Sim,1,668,10,Pública,-19.9167,-43.9345
5631934902,Manaus,Q,5,G,4,Sim,1,763,10,Pública,-3.119,-60.0217
3957084555,Rio de Janeiro,A,0,B,1,Sim,1,363,2,Pública,-22.9068,-43.1729
8364133423,São Paulo,D,3,F,3,Sim,1,583,7,Pública,-23.5505,-46.6333
8430462300,São Paulo,C,2,D,2,Sim,1,488,5,Privada,-23.5505,-46.6333
5689241307,Fortaleza,C,2,D,2,Sim,1,571,5,Pública,-3.7319,-38.5267
3036561099,Manaus,B,1,B,1,Sim,1,416,3,Privada,-3.119,-60.0217
6415496883,Manaus,B,1,B,1,Sim,1,547,3,Privada,-3.119,-60.0217
3316608503,Rio de Janeiro,D,3,F,3,Sim,1,531,7,Pública,-22.9068,-43.1729
7757559970,Rio de Janeiro,B,1,B,1,Sim,1,496,3,Privada,-22.9068,-43.1729
5128282016,Belo Horizonte,A,0,A,0,Sim,1,368,1,Pública,-19.9167,-43.9345
3816307289,Manaus,A,0,B,1,Não,0,507,1,Pública,-3.119,-60.0217
6414641778,Manaus,Q,5,G,4,Sim,1,680,10,Pública,-3.119,-60.0217
4450924308,Manaus,A,0,A,0,Não,0,431,0,Pública,-3.119,-60.0217
4142403170,Manaus,B,1,A,0,Sim,1,316,2,Pública,-3.119,-60.0217
9171402512,Manaus,A,0,A,0,Sim,1,362,1,Pública,-3.119,-60.0217
6573300620,São Paulo,D,3,D,2,Sim,1,590,6,Privada,-23.5505,-46.6333
2371441606,Belo Horizonte,E,4,G,4,Sim,1,798,9,Pública,-19.9167,-43.9345
9947638415,Belo Horizonte,Q,5,G,4,Sim,1,586,10,Pública,-19.9167,-43.9345
4399806102,São Paulo,C,2,F,3,Sim,1,574,6,Pública,-23.5505,-46.6333
7655175902,São Paulo,A,0,B,1,Sim,1,605,2,Pública,-23.5505,-46.6333
1434318588,Belo Horizonte,D,3,F,3,Sim,1,642,7,Privada,-19.9167,-43.9345
5644357636,Manaus,A,0,B,1,Sim,1,333,2,Pública,-3.119,-60.0217
3542142764,Manaus,B,1,A,0,Sim,1,466,2,Privada,-3.119,-60.0217
9187729753,Belo Horizonte,B,1,A,0,Sim,1,402,2,Pública,-19.9167,-43.9345
4533857662,Manaus,B,1,B,1,Não,0,309,2,Pública,-3.119,-60.0217
2610056894,São Paulo,C,2,D,2,Sim,1,542,5,Pública,-23.5505,-46.6333
2385927470,São Paulo,B,1,B,1,Não,0,456,2,Privada,-23.5505,-46.6333
3246688145,Manaus,A,0,A,0,Sim,1,422,1,Pública,-3.119,-60.0217
4930987466,São Paulo,D,3,D,2,Sim,1,565,6,Pública,-23.5505,-46.6333
7251998155,Belo Horizonte,Q,5,G,4,Sim,1,705,10,Pública,-19.9167,-43.9345
6437162011,Rio de Janeiro,B,1,B,1,Não,0,401,2,Pública,-22.9068,-43.1729
2329410976,Belo Horizonte,B,1,B,1,Sim,1,598,3,Pública,-19.9167,-43.9345
3634598190,Manaus,A,0,A,0,Sim,1,340,1,Pública,-3.119,-60.0217
7664019194,São Paulo,D,3,F,3,Sim,1,704,7,Privada,-23.5505,-46.6333
4600594380,São Paulo,B,1,A,0,Não,0,422,1,Pública,-23.5505,-46.6333
1058720660,São Paulo,C,2,D,2,Sim,1,610,5,Pública,-23.5505,-46.6333
2935072333,Manaus,D,3,F,3,Sim,1,613,7,Pública,-3.119,-60.0217
9066896320,São Paulo,A,0,A,0,Sim,1,544,1,Pública,-23.5505,-46.6333
8612049525,Belo Horizonte,A,0,B,1,Sim,1,583,2,Pública,-19.9167,-43.9345
9452382955,Fortaleza,D,3,D,2,Sim,1,692,6,Pública,-3.7319,-38.5267
3664209236,São Paulo,C,2,D,2,Sim,1,623,5,Pública,-23.5505,-46.6333
6800729381,Rio de Janeiro,E,4,G,4,Sim,1,858,9,Privada,-22.9068,-43.1729
4365764055,Fortaleza,B,1,B,1,Sim,1,561,3,Pública,-3.7319,-38.5267
1631675779,Belo Horizonte,B,1,A,0,Sim,1,556,2,Pública,-19.9167,-43.9345
2492129217,São Paulo,B,1,A,0,Sim,1,448,2,Pública,-23.5505,-46.6333
4851676866,Manaus,A,0,B,1,Não,0,463,1,Pública,-3.119,-60.0217
1725570564,Rio de Janeiro,C,2,D,2,Sim,1,695,5,Pública,-22.9068,-43.1729
3295331460,Rio de Janeiro,A,0,B,1,Não,0,345,1,Pública,-22.9068,-43.1729
8728408824,Rio de Janeiro,B,1,A,0,Não,0,444,1,Pública,-22.9068,-43.1729
2189180441,São Paulo,D,3,F,3,Sim,1,624,7,Pública,-23.5505,-46.6333
8505330540,Rio de Janeiro,D,3,F,3,Sim,1,612,7,Pública,-22.9068,-43.1729
8514544490,Rio de Janeiro,B,1,A,0,Sim,1,382,2,Pública,-22.9068,-43.1729
1908162278,Rio de Janeiro,A,0,A,0,Não,0,466,0,Pública,-22.9068,-43.1729
3549460179,Rio de Janeiro,C,2,D,2,Sim,1,435,5,Pública,-22.9068,-43.1729
7690452078,São Paulo,C,2,F,3,Sim,1,578,6,Pública,-23.5505,-46.6333
2559426565,São Paulo,D,3,D,2,Sim,1,628,6,Pública,-23.5505,-46.6333
1032359860,Fortaleza,A,0,B,1,Sim,1,527,2,Pública,-3.7319,-38.5267
9967409085,Manaus,A,0,B,1,Não,0,393,1,Privada,-3.119,-60.0217
7768861651,São Paulo,A,0,A,0,Sim,1,416,1,Pública,-23.5505,-46.6333
6402651504,Belo Horizonte,E,4,G,4,Sim,1,873,9,Pública,-19.9167,-43.9345
6497468338,São Paulo,C,2,F,3,Sim,1,604,6,Pública,-23.5505,-46.6333
8348484931,Manaus,D,3,F,3,Sim,1,632,7,Pública,-3.119,-60.0217
6534626111,São Paulo,C,2,F,3,Sim,1,390,6,Pública,-23.5505,-46.6333
3287454186,Manaus,C,2,F,3,Sim,1,471,6,Pública,-3.119,-60.0217
6679466508,Rio de Janeiro,D,3,F,3,Sim,1,709,7,Pública,-22.9068,-43.1729
3558248906,Rio de Janeiro,A,0,A,0,Não,0,651,0,Privada,-22.9068,-43.1729
9301905780,Fortaleza,A,0,A,0,Sim,1,411,1,Privada,-3.7319,-38.5267
5501532219,Fortaleza,Q,5,F,3,Sim,1,720,9,Pública,-3.7319,-38.5267
4498571780,São Paulo,D,3,F,3,Sim,1,619,7,Privada,-23.5505,-46.6333
3526757929,Fortaleza,D,3,F,3,Sim,1,706,7,Privada,-3.7319,-38.5267
1997345944,Fortaleza,C,2,D,2,Sim,1,577,5,Pública,-3.7319,-38.5267
5581094196,São Paulo,E,4,G,4,Sim,1,748,9,Privada,-23.5505,-46.6333
5893136319,Fortaleza,C,2,D,2,Sim,1,671,5,Pública,-3.7319,-38.5267
8526514104,Belo Horizonte,C,2,D,2,Sim,1,522,5,Privada,-19.9167,-43.9345
1442020981,São Paulo,B,1,B,1,Sim,1,394,3,Privada,-23.5505,-46.6333
3318683783,Manaus,B,1,A,0,Não,0,425,1,Pública,-3.119,-60.0217
6376436010,Belo Horizonte,C,2,D,2,Sim,1,565,5,Pública,-19.9167,-43.9345
6271432325,Fortaleza,A,0,B,1,Sim,1,388,2,Pública,-3.7319,-38.5267
2099578336,Fortaleza,A,0,B,1,Sim,1,274,2,Pública,-3.7319,-38.5267
4962104695,Belo Horizonte,D,3,F,3,Sim,1,561,7,Privada,-19.9167,-43.9345
9206334730,São Paulo,C,2,F,3,Sim,1,714,6,Privada,-23.5505,-46.6333
8891962838,São Paulo,A,0,B,1,Sim,1,663,2,Pública,-23.5505,-46.6333
1019894388,Manaus,A,0,A,0,Não,0,501,0,Pública,-3.119,-60.0217
7295134086,Rio de Janeiro,A,0,B,1,Sim,1,561,2,Pública,-22.9068,-43.1729
6052543639,São Paulo,C,2,F,3,Sim,1,544,6,Pública,-23.5505,-46.6333
4352203548,São Paulo,D,3,D,2,Sim,1,757,6,Pública,-23.5505,-46.6333
1638501552,Belo Horizonte,A,0,A,0,Sim,1,550,1,Pública,-19.9167,-43.9345
1792261991,Belo Horizonte,D,3,D,2,Sim,1,815,6,Privada,-19.9167,-43.9345
6176035359,Manaus,A,0,A,0,Sim,1,464,1,Pública,-3.119,-60.0217
9872151057,Manaus,C,2,F,3,Sim,1,693,6,Pública,-3.119,-60.0217
7429617373,Rio de Janeiro,D,3,D,2,Sim,1,529,6,Pública,-22.9068,-43.1729
9149401554,Fortaleza,A,0,B,1,Sim,1,371,2,Pública,-3.7319,-38.5267
1953363190,Belo Horizonte,E,4,F,3,Sim,1,870,8,Privada,-19.9167,-43.9345
6752126200,Fortaleza,A,0,A,0,Não,0,418,0,Privada,-3.7319,-38.5267
8860734442,São Paulo,D,3,F,3,Sim,1,649,7,Pública,-23.5505,-46.6333
6554027230,Belo Horizonte,Q,5,F,3,Sim,1,681,9,Pública,-19.9167,-43.9345
4764298642,Rio de Janeiro,A,0,A,0,Não,0,439,0,Pública,-22.9068,-43.1729
4510893358,Belo Horizonte,D,3,F,3,Sim,1,490,7,Pública,-19.9167,-43.9345
2758409637,Rio de Janeiro,A,0,B,1,Sim,1,551,2,Pública,-22.9068,-43.1729
8644005739,São Paulo,D,3,D,2,Sim,1,687,6,Pública,-23.5505,-46.6333
3326301223,São Paulo,C,2,F,3,Sim,1,607,6,Pública,-23.5505,-46.6333
8065453845,Rio de Janeiro,C,2,D,2,Sim,1,506,5,Pública,-22.9068,-43.1729
5583483425,Manaus,B,1,B,1,Não,0,468,2,Pública,-3.119,-60.0217
1047226729,São Paulo,D,3,F,3,Sim,1,576,7,Privada,-23.5505,-46.6333
3122890036,Fortaleza,D,3,D,2,Sim,1,558,6,Pública,-3.7319,-38.5267
7107598381,Rio de Janeiro,Q,5,F,3,Sim,1,702,9,Pública,-22.9068,-43.1729
7339588193,Belo Horizonte,C,2,D,2,Sim,1,625,5,Pública,-19.9167,-43.9345
3131876797,Manaus,D,3,F,3,Sim,1,571,7,Privada,-3.119,-60.0217
7269284376,São Paulo,A,0,A,0,Sim,1,643,1,Pública,-23.5505,-46.6333
5317532261,Fortaleza,E,4,G,4,Sim,1,588,9,Pública,-3.7319,-38.5267
5081238345,Belo Horizonte,E,4,F,3,Sim,1,821,8,Pública,-19.9167,-43.9345
9410279503,São Paulo,C,2,F,3,Sim,1,640,6,Pública,-23.5505,-46.6333
7397031512,Manaus,C,2,F,3,Sim,1,658,6,Pública,-3.119,-60.0217
9779623711,Belo Horizonte,B,1,A,0,Sim,1,494,2,Pública,-19.9167,-43.9345
5812607822,Rio de Janeiro,D,3,D,2,Sim,1,626,6,Pública,-22.9068,-43.1729
3036734545,Manaus,C,2,F,3,Sim,1,718,6,Pública,-3.119,-60.0217
1330511457,São Paulo,D,3,D,2,Sim,1,393,6,Pública,-23.5505,-46.6333
3312416771,Fortaleza,D,3,F,3,Sim,1,557,7,Pública,-3.7319,-38.5267
5399767862,Rio de Janeiro,C,2,F,3,Sim,1,693,6,Privada,-22.9068,-43.1729
2649112337,Fortaleza,Q,5,F,3,Sim,1,688,9,Pública,-3.7319,-38.5267
4299709193,Manaus,D,3,F,3,Sim,1,722,7,Pública,-3.119,-60.0217
1474482690,São Paulo,B,1,A,0,Sim,1,311,2,Pública,-23.5505,-46.6333
4909876660,Rio de Janeiro,B,1,A,0,Não,0,436,1,Pública,-22.9068,-43.1729
4377326140,São Paulo,A,0,B,1,Não,0,505,1,Pública,-23.5505,-46.6333
3790211134,Fortaleza,Q,5,F,3,Sim,1,607,9,Pública,-3.7319,-38.5267
1946981081,Manaus,Q,5,G,4,Sim,1,767,10,Pública,-3.119,-60.0217
1746874428,São Paulo,D,3,F,3,Sim,1,650,7,Pública,-23.5505,-46.6333
7970462988,Fortaleza,B,1,B,1,Sim,1,476,3,Pública,-3.7319,-38.5267
4817143944,São Paulo,E,4,G,4,Sim,1,608,9,Pública,-23.5505,-46.6333
2413264846,Fortaleza,Q,5,G,4,Sim,1,782,10,Pública,-3.7319,-38.5267
5643058117,Fortaleza,B,1,A,0,Não,0,620,1,Pública,-3.7319,-38.5267
1264213617,Manaus,A,0,B,1,Não,0,181,1,Privada,-3.119,-60.0217
2146877676,Manaus,E,4,G,4,Sim,1,660,9,Pública,-3.119,-60.0217
1675772986,São Paulo,E,4,G,4,Sim,1,762,9,Pública,-23.5505,-46.6333
4783311082,Fortaleza,A,0,B,1,Não,0,517,1,Pública,-3.7319,-38.5267
9612032937,Manaus,E,4,F,3,Sim,1,700,8,Privada,-3.119,-60.0217
2111057931,Rio de Janeiro,Q,5,F,3,Sim,1,663,9,Privada,-22.9068,-43.1729
1497545575,Rio de Janeiro,B,1,A,0,Sim,1,520,2,Pública,-22.9068,-43.1729
5374113734,Manaus,D,3,D,2,Sim,1,501,6,Pública,-3.119,-60.0217
1440275932,Rio de Janeiro,D,3,D,2,Sim,1,565,6,Privada,-22.9068,-43.1729
8338260880,Belo Horizonte,A,0,B,1,Sim,1,499,2,Pública,-19.9167,-43.9345
9038189361,Rio de Janeiro,D,3,F,3,Sim,1,771,7,Pública,-22.9068,-43.1729
6891980142,Belo Horizonte,C,2,D,2,Sim,1,550,5,Pública,-19.9167,-43.9345
9577584412,Fortaleza,A,0,B,1,Não,0,467,1,Pública,-3.7319,-38.5267
8614215854,Manaus,D,3,F,3,Sim,1,703,7,Privada,-3.119,-60.0217
5137069949,Belo Horizonte,C,2,D,2,Sim,1,592,5,Privada,-19.9167,-43.9345
5226151810,Manaus,E,4,F,3,Sim,1,638,8,Pública,-3.119,-60.0217
1860535970,Fortaleza,D,3,F,3,Sim,1,615,7,Pública,-3.7319,-38.5267
4730708112,Belo Horizonte,D,3,F,3,Sim,1,591,7,Pública,-19.9167,-43.9345
7572822065,Manaus,C,2,D,2,Sim,1,661,5,Pública,-3.119,-60.0217
7279660046,Belo Horizonte,B,1,B,1,Sim,1,566,3,Privada,-19.9167,-43.9345
1861247141,São Paulo,A,0,A,0,Sim,1,414,1,Privada,-23.5505,-46.6333
1642443984,Manaus,B,1,B,1,Não,0,422,2,Pública,-3.119,-60.0217
4251544792,Manaus,B,1,B,1,Sim,1,489,3,Pública,-3.119,-60.0217
1441489995,Fortaleza,D,3,D,2,Sim,1,648,6,Pública,-3.7319,-38.5267
7949925973,São Paulo,C,2,F,3,Sim,1,561,6,Pública,-23.5505,-46.6333
1354371485,Rio de Janeiro,B,1,A,0,Não,0,368,1,Privada,-22.9068,-43.1729
7732536678,São Paulo,Q,5,G,4,Sim,1,780,10,Pública,-23.5505,-46.6333
4034290114,Rio de Janeiro,B,1,A,0,Sim,1,381,2,Pública,-22.9068,-43.1729
9311628491,Fortaleza,B,1,A,0,Não,0,491,1,Pública,-3.7319,-38.5267
8661502485,Belo Horizonte,A,0,A,0,Não,0,514,0,Pública,-19.9167,-43.9345
5645565386,Rio de Janeiro,C,2,D,2,Sim,1,662,5,Pública,-22.9068,-43.1729
9777459999,Belo Horizonte,A,0,A,0,Não,0,585,0,Pública,-19.9167,-43.9345
5279221599,Fortaleza,B,1,B,1,Sim,1,420,3,Pública,-3.7319,-38.5267
4609715590,Belo Horizonte,A,0,A,0,Não,0,707,0,Pública,-19.9167,-43.9345
2485779459,Belo Horizonte,A,0,A,0,Sim,1,529,1,Pública,-19.9167,-43.9345
2698724705,Belo Horizonte,A,0,A,0,Sim,1,521,1,Pública,-19.9167,-43.9345
8108210982,Belo Horizonte,Q,5,G,4,Sim,1,782,10,Pública,-19.9167,-43.9345
7496632833,Manaus,A,0,B,1,Sim,1,333,2,Pública,-3.119,-60.0217
5713268725,Manaus,E,4,F,3,Sim,1,717,8,Pública,-3.119,-60.0217
2679682426,São Paulo,C,2,F,3,Sim,1,694,6,Pública,-23.5505,-46.6333
1038785284,São Paulo,Q,5,F,3,Sim,1,818,9,Pública,-23.5505,-46.6333
6716126287,Belo Horizonte,E,4,F,3,Sim,1,673,8,Privada,-19.9167,-43.9345
2850647808,Rio de Janeiro,D,3,F,3,Sim,1,785,7,Pública,-22.9068,-43.1729
3600766570,Belo Horizonte,D,3,F,3,Sim,1,509,7,Pública,-19.9167,-43.9345
6179048555,Manaus,B,1,A,0,Sim,1,418,2,Pública,-3.119,-60.0217
1524458102,Rio de Janeiro,A,0,B,1,Não,0,463,1,Pública,-22.9068,-43.1729
1443708576,Fortaleza,C,2,D,2,Sim,1,562,5,Pública,-3.7319,-38.5267
9382967777,Rio de Janeiro,B,1,B,1,Sim,1,460,3,Pública,-22.9068,-43.1729
6766652822,São Paulo,C,2,D,2,Sim,1,540,5,Privada,-23.5505,-46.6333
1403300480,Manaus,B,1,B,1,Sim,1,492,3,Pública,-3.119,-60.0217
6391500462,Manaus,C,2,D,2,Sim,1,679,5,Privada,-3.119,-60.0217
9026885767,Rio de Janeiro,B,1,B,1,Não,0,499,2,Pública,-22.9068,-43.1729
3579598336,São Paulo,B,1,A,0,Sim,1,511,2,Pública,-23.5505,-46.6333
8120391387,Manaus,C,2,F,3,Sim,1,518,6,Pública,-3.119,-60.0217
4721325728,Rio de Janeiro,Q,5,F,3,Sim,1,810,9,Pública,-22.9068,-43.1729
7030736764,São Paulo,A,0,A,0,Não,0,439,0,Pública,-23.5505,-46.6333
9065481100,Belo Horizonte,D,3,F,3,Sim,1,586,7,Pública,-19.9167,-43.9345
2394085518,Fortaleza,B,1,B,1,Sim,1,570,3,Pública,-3.7319,-38.5267
3561885600,São Paulo,A,0,A,0,Sim,1,408,1,Pública,-23.5505,-46.6333
7955658057,Belo Horizonte,A,0,A,0,Não,0,354,0,Pública,-19.9167,-43.9345
9381536583,Rio de Janeiro,C,2,D,2,Sim,1,410,5,Pública,-22.9068,-43.1729
2712930785,Manaus,E,4,G,4,Sim,1,913,9,Pública,-3.119,-60.0217
8379282417,Manaus,B,1,A,0,Não,0,474,1,Privada,-3.119,-60.0217
3811885347,Manaus,A,0,B,1,Sim,1,605,2,Privada,-3.119,-60.0217
7381770620,Fortaleza,B,1,A,0,Sim,1,496,2,Privada,-3.7319,-38.5267
7916330915,Fortaleza,Q,5,F,3,Sim,1,917,9,Pública,-3.7319,-38.5267
6072997834,Rio de Janeiro,A,0,B,1,Sim,1,416,2,Pública,-22.9068,-43.1729
2604211883,São Paulo,D,3,F,3,Sim,1,651,7,Privada,-23.5505,-46.6333
7507627796,Manaus,C,2,D,2,Sim,1,587,5,Pública,-3.119,-60.0217
4607176828,São Paulo,D,3,F,3,Sim,1,642,7,Privada,-23.5505,-46.6333
6392954202,Rio de Janeiro,Q,5,F,3,Sim,1,672,9,Privada,-22.9068,-43.1729
1410321041,Fortaleza,E,4,G,4,Sim,1,801,9,Privada,-3.7319,-38.5267
5952027716,Fortaleza,C,2,D,2,Sim,1,651,5,Pública,-3.7319,-38.5267
5396494255,Rio de Janeiro,C,2,D,2,Sim,1,551,5,Pública,-22.9068,-43.1729
6398275016,Manaus,D,3,D,2,Sim,1,726,6,Privada,-3.119,-60.0217
3902716049,São Paulo,E,4,F,3,Sim,1,595,8,Pública,-23.5505,-46.6333
3973990640,Fortaleza,C,2,D,2,Sim,1,641,5,Pública,-3.7319,-38.5267
4840520544,Rio de Janeiro,E,4,G,4,Sim,1,826,9,Pública,-22.9068,-43.1729
3650663910,Belo Horizonte,B,1,A,0,Não,0,462,1,Privada,-19.9167,-43.9345
6725199618,Rio de Janeiro,D,3,D,2,Sim,1,548,6,Pública,-22.9068,-43.1729
5275556130,Rio de Janeiro,Q,5,G,4,Sim,1,709,10,Pública,-22.9068,-43.1729
5710189501,Belo Horizonte,A,0,A,0,Sim,1,598,1,Pública,-19.9167,-43.9345
6302747372,São Paulo,Q,5,F,3,Sim,1,669,9,Pública,-23.5505,-46.6333
4547933455,Manaus,B,1,B,1,Sim,1,523,3,Privada,-3.119,-60.0217
5800266019,Belo Horizonte,D,3,D,2,Sim,1,524,6,Pública,-19.9167,-43.9345
2312216906,Rio de Janeiro,B,1,A,0,Não,0,388,1,Pública,-22.9068,-43.1729
7728389947,Fortaleza,A,0,B,1,Sim,1,429,2,Privada,-3.7319,-38.5267
8393451469,São Paulo,B,1,A,0,Não,0,497,1,Pública,-23.5505,-46.6333
2385247118,Fortaleza,D,3,F,3,Sim,1,514,7,Pública,-3.7319,-38.5267
8827494424,Rio de Janeiro,B,1,B,1,Sim,1,431,3,Pública,-22.9068,-43.1729
5892818240,Rio de Janeiro,B,1,A,0,Sim,1,571,2,Pública,-22.9068,-43.1729
2578548340,Manaus,A,0,A,0,Sim,1,504,1,Pública,-3.119,-60.0217
5022018590,Rio de Janeiro,B,1,B,1,Não,0,228,2,Privada,-22.9068,-43.1729
8087559739,Belo Horizonte,Q,5,F,3,Sim,1,753,9,Privada,-19.9167,-43.9345
1249811585,Fortaleza,A,0,A,0,Não,0,591,0,Privada,-3.7319,-38.5267
1521344328,São Paulo,C,2,D,2,Sim,1,602,5,Privada,-23.5505,-46.6333
1999204964,Belo Horizonte,A,0,A,0,Sim,1,337,1,Pública,-19.9167,-43.9345
5856364094,Belo Horizonte,D,3,D,2,Sim,1,682,6,Pública,-19.9167,-43.9345
2521433058,Manaus,Q,5,G,4,Sim,1,636,10,Pública,-3.119,-60.0217
7362324698,Manaus,A,0,B,1,Não,0,315,1,Pública,-3.119,-60.0217
6109700471,Manaus,A,0,A,0,Sim,1,341,1,Pública,-3.119,-60.0217
4442575697,Manaus,E,4,F,3,Sim,1,744,8,Pública,-3.119,-60.0217
5841286141,Manaus,Q,5,F,3,Sim,1,694,9,Privada,-3.119,-60.0217
2694262707,Belo Horizonte,C,2,D,2,Sim,1,539,5,Pública,-19.9167,-43.9345
1571853424,Manaus,C,2,F,3,Sim,1,701,6,Pública,-3.119,-60.0217
8029442759,Belo Horizonte,A,0,B,1,Sim,1,370,2,Pública,-19.9167,-43.9345
2903843414,São Paulo,D,3,D,2,Sim,1,591,6,Pública,-23.5505,-46.6333
9895979927,São Paulo,C,2,D,2,Sim,1,617,5,Pública,-23.5505,-46.6333
7279014302,Fortaleza,A,0,B,1,Sim,1,381,2,Pública,-3.7319,-38.5267
3360582916,Fortaleza,D,3,D,2,Sim,1,503,6,Pública,-3.7319,-38.5267
5191848776,Rio de Janeiro,B,1,B,1,Sim,1,359,3,Pública,-22.9068,-43.1729
3277630329,São Paulo,B,1,B,1,Não,0,419,2,Pública,-23.5505,-46.6333
7880029045,Rio de Janeiro,B,1,B,1,Sim,1,526,3,Pública,-22.9068,-43.1729
6259684022,Belo Horizonte,B,1,A,0,Não,0,457,1,Pública,-19.9167,-43.9345
1703016561,São Paulo,A,0,B,1,Sim,1,442,2,Privada,-23.5505,-46.6333
2109955339,São Paulo,C,2,F,3,Sim,1,587,6,Pública,-23.5505,-46.6333
7272969364,São Paulo,C,2,D,2,Sim,1,506,5,Pública,-23.5505,-46.6333
1707874257,Fortaleza,B,1,A,0,Não,0,478,1,Pública,-3.7319,-38.5267
2775610133,Rio de Janeiro,A,0,B,1,Sim,1,644,2,Pública,-22.9068,-43.1729
7691740857,Fortaleza,A,0,A,0,Sim,1,546,1,Pública,-3.7319,-38.5267
6171293674,São Paulo,C,2,D,2,Sim,1,697,5,Pública,-23.5505,-46.6333
